"Dates","Price"
"2009-01-07",767.53
"2009-01-14",767.07
"2009-01-21",770.72
"2009-01-28",772.67
"2009-02-04",808.15
"2009-02-11",781.28
"2009-02-18",831.49
"2009-02-25",812.43
"2009-03-04",821.64
"2009-03-11",798.1
"2009-03-18",780.93
"2009-03-25",775.08
"2009-04-01",784.74
"2009-04-08",762.32
"2009-04-15",738.8
"2009-04-22",759.53
"2009-04-29",764.1
"2009-05-06",751.89
"2009-05-13",742.29
"2009-05-20",745.53
"2009-05-27",756.07
"2009-06-03",764.74
"2009-06-10",757.06
"2009-06-17",761.04
"2009-06-24",765.69
"2009-07-01",745.48
"2009-07-08",748.42
"2009-07-15",728.76
"2009-07-22",716.73
"2009-07-29",700.83
"2009-08-05",685.03
"2009-08-12",699.77
"2009-08-19",693.6
"2009-08-26",676.98
"2009-09-02",695.96
"2009-09-09",690.32
"2009-09-16",692.8
"2009-09-23",691.41
"2009-09-30",700.37
"2009-10-07",706.62
"2009-10-14",709.92
"2009-10-21",684.99
"2009-10-28",673.79
"2009-11-04",663.76
"2009-11-12",671.43
"2009-11-18",678.85
"2009-11-25",680.35
"2009-12-02",683.45
"2009-12-09",680.53
"2009-12-16",679.25
"2009-12-23",680.28
"2009-12-30",677.88
"2010-01-06",681.32
"2010-01-13",685.95
"2010-01-20",681.66
"2010-01-27",669.69
"2010-02-03",671
"2010-02-10",666.31
"2010-02-17",671.19
"2010-02-24",676.66
"2010-03-03",672.44
"2010-03-10",675.53
"2010-03-17",675.67
"2010-03-24",680.76
"2010-03-31",677.68
"2010-04-07",686.39
"2010-04-14",690.94
"2010-04-21",688.96
"2010-04-28",691.36
"2010-05-05",698.18
"2010-05-12",701.84
"2010-05-19",698.85
"2010-05-26",713.19
"2010-06-02",726.08
"2010-06-09",725.35
"2010-06-16",726.25
"2010-06-23",724.02
"2010-06-30",726.2
"2010-07-07",719.22
"2010-07-14",712.25
"2010-07-21",710.85
"2010-07-28",702.77
"2010-08-04",698.14
"2010-08-11",695.35
"2010-08-18",691.47
"2010-08-25",699.43
"2010-09-01",702.54
"2010-09-08",701.75
"2010-09-15",708.66
"2010-09-22",706.7
"2010-09-29",707.46
"2010-10-06",703.69
"2010-10-13",709.08
"2010-10-20",702.95
"2010-10-27",701.55
"2010-11-03",702.41
"2010-11-10",709.6
"2010-11-17",709.11
"2010-11-24",707.65
"2010-12-01",713
"2010-12-08",722.25
"2010-12-15",720.09
"2010-12-22",722.54
"2010-12-29",730.98
"2011-01-05",722.33
"2011-01-12",717.36
"2011-01-19",713.75
"2011-01-26",697.86
"2011-02-02",698.66
"2011-02-09",703.04
"2011-02-16",708.16
"2011-02-23",710.48
"2011-03-02",710.44
"2011-03-09",717.07
"2011-03-16",712.73
"2011-03-23",703.4
"2011-03-30",703.76
"2011-04-06",698.29
"2011-04-13",702.47
"2011-04-20",700.84
"2011-04-27",693.75
"2011-05-04",696.92
"2011-05-11",706.04
"2011-05-18",704.75
"2011-05-25",702.65
"2011-06-01",703.03
"2011-06-08",696.51
"2011-06-15",696.72
"2011-06-22",698.37
"2011-06-29",691.82
"2011-07-06",686.04
"2011-07-13",696.09
"2011-07-20",697.61
"2011-07-27",696.55
"2011-08-03",691.35
"2011-08-10",670.16
"2011-08-17",690.45
"2011-08-24",695.47
"2011-08-31",686.48
"2011-09-07",689.46
"2011-09-14",696.75
"2011-09-21",691.55
"2011-09-28",680.49
"2011-10-05",681.35
"2011-10-12",682.23
"2011-10-19",672.56
"2011-10-26",670.46
"2011-11-02",668.59
"2011-11-09",670.68
"2011-11-16",656.11
"2011-11-23",652.09
"2011-11-30",647.7
"2011-12-07",650.12
"2011-12-14",646.92
"2011-12-21",649.96
"2011-12-28",651.39
"2012-01-04",647.52
"2012-01-11",650.11
"2012-01-18",655.25
"2012-01-25",656.48
"2012-02-01",660.08
"2012-02-08",660.6
"2012-02-15",659.55
"2012-02-22",659.65
"2012-02-29",661.77
"2012-03-07",642.73
"2012-03-14",657.8
"2012-03-21",658.43
"2012-03-28",660.01
"2012-04-04",655.09
"2012-04-11",638.73
"2012-04-18",645.51
"2012-04-25",624.54
"2012-05-02",638.09
"2012-05-09",623.59
"2012-05-16",598.33
"2012-05-23",590.52
"2012-05-30",585.18
"2012-06-06",573.17
"2012-06-11",595.25
"2012-06-12",600.03
"2012-06-13",604.49
"2012-06-14",604.11
"2012-06-15",603.51
"2012-06-18",607.8
"2012-06-19",609.97
"2012-06-20",620.12
"2012-06-21",620.79
"2012-06-22",616.5
"2012-06-25",611.97
"2012-06-26",609.44
